Species,Distribution
Cyanistes_ombriosus_KC202338.1,ElHierro
Cyanistes_ombriosus_KC202339.1,ElHierro
Cyanistes_ombriosus_KP759167.1,ElHierro
Cyanistes_ombriosus_KP759194.1,ElHierro
Cyanistes_degener_JF828078.1,Fuerteventura
Cyanistes_degener_KP759164.1,Fuerteventura
Cyanistes_degener_KP759220.1,Fuerteventura
Cyanistes_degener_KP759251.1,Fuerteventura
Cyanistes_degener_KY378742.1,Fuerteventura
Cyanistes_teneriffae_DQ474055.1,GranCanaria
Cyanistes_teneriffae_DQ474058.1,GranCanaria
Cyanistes_teneriffae_hedwigii_KP759205.1,GranCanaria
Cyanistes_teneriffae_hedwigii_KP759233.1,GranCanaria
Cyanistes_teneriffae_DQ474002.1,LaGomera
Cyanistes_teneriffae_teneriffae_KC202344.1,LaGomera
Cyanistes_teneriffae_teneriffae_KP759165.1,LaGomera
Cyanistes_teneriffae_teneriffae_KP759166.1,LaGomera
Cyanistes_teneriffae_teneriffae_KP759202.1,LaGomera
Cyanistes_teneriffae_teneriffae_KP759216.1,LaGomera
Cyanistes_caeruleus_KY378741.1,Mainland
Cyanistes_caeruleus_caeruleus_DQ474042.1,Mainland
Cyanistes_caeruleus_caeruleus_KP759222.1,Mainland
Cyanistes_caeruleus_calamensis_JF828080.1,Mainland
Cyanistes_caeruleus_calamensis_KC202361.1,Mainland
Cyanistes_caeruleus_calamensis_KP759197.1,Mainland
Cyanistes_caeruleus_obscurus_KC202350.1,Mainland
Cyanistes_caeruleus_ogliastrae_DQ474039.1,Mainland
Cyanistes_caeruleus_ogliastrae_DQ474040.1,Mainland
Cyanistes_caeruleus_ogliastrae_KC202351.1,Mainland
Cyanistes_caeruleus_ogliastrae_KC202352.1,Mainland
Cyanistes_caeruleus_ogliastrae_KP759191.1,Mainland
Cyanistes_caeruleus_ogliastrae_KP759213.1,Mainland
Cyanistes_caeruleus_ogliastrae_KP759223.1,Mainland
Cyanistes_caeruleus_ogliastrae_KP759230.1,Mainland
Cyanistes_caeruleus_ogliastrae_KP759270.1,Mainland
Cyanistes_caeruleus_raddei_KC202353.1,Mainland
Cyanistes_caeruleus_raddei_KC202354.1,Mainland
Cyanistes_caeruleus_satunini_KC202359.1,Mainland
Cyanistes_caeruleus_satunini_KC202360.1,Mainland
Cyanistes_cyanus_AF347966.1,Mainland
Cyanistes_cyanus_HM185352.1,Mainland
Cyanistes_cyanus_cyanus_KC202332.1,Mainland
Cyanistes_ultramarinus_cyrenaicae_KC202346.1,Mainland
Cyanistes_ultramarinus_cyrenaicae_KC202347.1,Mainland
Cyanistes_ultramarinus_cyrenaicae_KC202348.1,Mainland
Cyanistes_ultramarinus_cyrenaicae_KC202349.1,Mainland
Cyanistes_ultramarinus_cyrenaicae_KP759204.1,Mainland
Cyanistes_ultramarinus_cyrenaicae_KP759256.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KC202333.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KC202355.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KC202356.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KC202357.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KC202358.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KP759209.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KP759232.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KP759237.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KP759254.1,Mainland
Cyanistes_ultramarinus_ultramarinus_KP759268.1,Mainland
Parus_major_DQ792786.1,Mainland
Parus_major_DQ792787.1,Mainland
Parus_major_EU167009.1,Mainland
Parus_major_KJ456375.1,Mainland
Parus_major_major_KP759174.1,Mainland
Cyanistes_palmensis_KP759186.1,Palma
Cyanistes_palmensis_KP759206.1,Palma
Cyanistes_palmensis_KP759217.1,Palma
Cyanistes_palmensis_KY378743.1,Palma
Cyanistes_teneriffae_teneriffae_KP759192.1,Tenerife
Cyanistes_teneriffae_teneriffae_KP759210.1,Tenerife
Cyanistes_teneriffae_teneriffae_KP759247.1,Tenerife
